Jogo: Terraria | 🏆 Troféu: Timber!! | 📝 Como platinar: Chop down your first tree.
Jogo: Terraria | 🏆 Troféu: Archaeologist | 📝 Como platinar: Kill Doctor Bones.
Jogo: Terraria | 🏆 Troféu: Pretty in Pink | 📝 Como platinar: Kill pinky.
Jogo: Terraria | 🏆 Troféu: Rainbows and Unicorns | 📝 Como platinar: Fire a rainbow gun while riding on a unicorn.
Jogo: Terraria | 🏆 Troféu: You and What Army? | 📝 Como platinar: Command nine summoned minions simultaneously.
Jogo: Terraria | 🏆 Troféu: Prismancer | 📝 Como platinar: Obtain a rainbow rod.
Jogo: Terraria | 🏆 Troféu: It Can Talk?! | 📝 Como platinar: Build a house in a mushroom biome and have the Truffle move in.
Jogo: Terraria | 🏆 Troféu: Watch Your Step! | 📝 Como platinar: Become a victim to a nasty underground trap.
Jogo: Terraria | 🏆 Troféu: Marathon Medalist | 📝 Como platinar: Travel a total of 26.2 miles on foot.
Jogo: Terraria | 🏆 Troféu: Glorious Golden Pole | 📝 Como platinar: Obtain a golden fishing rod.
Jogo: Terraria | 🏆 Troféu: Servant-in-Training | 📝 Como platinar: Complete your 1st quest for the angler.
Jogo: Terraria | 🏆 Troféu: Good Little Slave | 📝 Como platinar: Complete your 10th quest for the angler.
Jogo: Terraria | 🏆 Troféu: Trout Monkey | 📝 Como platinar: Complete your 25th quest for the angler.
Jogo: Terraria | 🏆 Troféu: Fast and Fishious | 📝 Como platinar: Complete your 50th quest for the angler.
Jogo: Terraria | 🏆 Troféu: Supreme Helper Minion! | 📝 Como platinar: Complete a grand total of 200 quests for the angler.
Jogo: Terraria | 🏆 Troféu: Topped Off | 📝 Como platinar: Attain maximum health and mana possible without accessories or buffs.
Jogo: Terraria | 🏆 Troféu: Slayer of Worlds | 📝 Como platinar: Defeat every boss in Terraria.
Jogo: Terraria | 🏆 Troféu: You Can Do It! | 📝 Como platinar: Survive your character's first full night.
Jogo: Terraria | 🏆 Troféu: Matching Attire | 📝 Como platinar: Equip armor in all three armor slots: head, chest, and feet.
Jogo: Terraria | 🏆 Troféu: Benched | 📝 Como platinar: Craft your first work bench.
Jogo: Terraria | 🏆 Troféu: Fae Flayer | 📝 Como platinar: Defeat the Empress of Light, responsible for all those flashy lights and glitter.
Jogo: Terraria | 🏆 Troféu: Just Desserts | 📝 Como platinar: Defeat Queen Slime, giving the coup-de-grace to the sovereign of all that jiggles.
Jogo: Terraria | 🏆 Troféu: Don't Dread on Me | 📝 Como platinar: Defeat the Dreadnautilus, murderous mollusk lurking beneath the surface of the sanguine seas.
Jogo: Terraria | 🏆 Troféu: Hero of Etheria | 📝 Como platinar: Repel the strongest forces the Old One's Army can muster.
Jogo: Terraria | 🏆 Troféu: Infinity +1 Sword | 📝 Como platinar: Obtain the Zenith, the culmination of a journey forged into the ultimate sword.
Jogo: Terraria | 🏆 Troféu: Boots of the Hero | 📝 Como platinar: Obtain the Terraspark Boots, forged from the finest boots of fire and ice.
Jogo: Terraria | 🏆 Troféu: A Rather Blustery Day | 📝 Como platinar: Fly a kite on a windy day.
Jogo: Terraria | 🏆 Troféu: Quiet Neighborhood | 📝 Como platinar: Enter a misty graveyard filled with the surly dead.
Jogo: Terraria | 🏆 Troféu: Hot Reels! | 📝 Como platinar: Drop a lure in a pool of lava for a pre-fried haul!
Jogo: Terraria | 🏆 Troféu: Heliophobia | 📝 Como platinar: Trick a gnome into turning into stone!
Jogo: Terraria | 🏆 Troféu: Leading Landlord | 📝 Como platinar: Meet with a tenant who's as happy as they possibly can be!
Jogo: Terraria | 🏆 Troféu: Feeling Petty | 📝 Como platinar: Deliver headpats to the town pet.
Jogo: Terraria | 🏆 Troféu: Hey! Listen! | 📝 Como platinar: Encounter a fairy.
Jogo: Terraria | 🏆 Troféu: Jolly Jamboree | 📝 Como platinar: What you're celebrating doesn't matter, just throw a party already!
Jogo: Terraria | 🏆 Troféu: Dead Men Tell No Tales | 📝 Como platinar: You were so preoccupied with whether or not you could open the chest that you didn't stop to think if you should.
Jogo: Terraria | 🏆 Troféu: An Eye For An Eye | 📝 Como platinar: Defeat Deerclops, the chilly one-eyed monstrosity from a foreign land.
Jogo: Terraria | 🏆 Troféu: Feast of Midas | 📝 Como platinar: Obtain Golden Delight, the highest quality meal made from the highest quality . . . ingredients.
Jogo: Terraria | 🏆 Troféu: Unusual Survival Strategies | 📝 Como platinar: Delay death from drowning by drinking water. It doesn't make much sense, but you did what you had to do.
Jogo: Terraria | 🏆 Troféu: Black Mirror | 📝 Como platinar: Obtain the Cell Phone. You'll never leave home without it again.
Jogo: Terraria | 🏆 Troféu: Ankhumulation Complete | 📝 Como platinar: Obtain the Ankh Shield, the finest protection from unpleasant maladies and ailments.
Jogo: Terraria | 🏆 Troféu: Torch God | 📝 Como platinar: Invoked the wrath of the God of Torches, and survived long enough to earn its blessing.
Jogo: Terraria | 🏆 Troféu: A Rare Realm | 📝 Como platinar: Some very special seeds can lead to unique and rewarding experiences. Can you find one?
Jogo: Terraria | 🏆 Troféu: The Great Slime Mitosis | 📝 Como platinar: Find all of the Slime Pets and have them move in!
Jogo: Terraria | 🏆 Troféu: A Shimmer In The Dark | 📝 Como platinar: Shimmer an item into another item. What other transmutations can you find?
Jogo: Terraria | 🏆 Troféu: And Good Riddance! | 📝 Como platinar: Completely purify all Corruption, Crimson, and Hallow from your world, until the Dryad is satisfied!
Jogo: Terraria | 🏆 Troféu: To Infinity... and Beyond! | 📝 Como platinar: Fly a Kwad Racer into outer space.
Jogo: Terraria | 🏆 Troféu: Book Worm | 📝 Como platinar: Catalogue every creature in the world.
Jogo: Terraria | 🏆 Troféu: Boulder Lord | 📝 Como platinar: Prove your worth against the Moon Lord's worst.
Jogo: Terraria | 🏆 Troféu: Queen Machine | 📝 Como platinar: Defeated the combined form of the 3 mechanical giants.
Jogo: Terraria | 🏆 Troféu: Rollin’ In Your Grave | 📝 Como platinar: Take a ride in your final resting place.
Jogo: Terraria | 🏆 Troféu: Fear The Sun | 📝 Como platinar: Dawn the garb of a vampire and get a sunburn.
Jogo: Terraria | 🏆 Troféu: It’s Shaling Outside | 📝 Como platinar: Survive the dreaded rain of boulders.
Jogo: Terraria | 🏆 Troféu: Extra Life | 📝 Como platinar: Die as a hardcore character and survive to tell the tale.
Jogo: Terraria | 🏆 Troféu: Grave Mistake | 📝 Como platinar: “Accidentally” kill a friend with your tombstone.
Jogo: Terraria | 🏆 Troféu: Spicy Licks | 📝 Como platinar: Jam out on a six stringed instrument.
Jogo: Terraria | 🏆 Troféu: Organized Chaos | 📝 Como platinar: Find the ultra rare Rod of Discord.
Jogo: Terraria | 🏆 Troféu: On Fleek | 📝 Como platinar: Spot the sun on a “cool” day.
Jogo: Terraria | 🏆 Troféu: Fortune Favors the Bould | 📝 Como platinar: Discover a friendly boulder.
Jogo: Terraria | 🏆 Troféu: Training Day | 📝 Como platinar: Get your villagers fully combat ready.
Jogo: Terraria | 🏆 Troféu: Mini-Me | 📝 Como platinar: Become a Moon Lord impersonator.
Jogo: Terraria | 🏆 Troféu: Terrarist | 📝 Como platinar: Scare your villagers with a stink bug sword.
Jogo: Terraria | 🏆 Troféu: New Digs | 📝 Como platinar: Give any villager a new look.
Jogo: Terraria | 🏆 Troféu: My People Need Me | 📝 Como platinar: Embark on a one way trip into outer space.
Jogo: Terraria | 🏆 Troféu: Going Oldschool | 📝 Como platinar: Bring back the original title screen.
Jogo: Terraria | 🏆 Troféu: Sea You Later | 📝 Como platinar: Craft the final upgrade to the Cell Phone.
Jogo: Terraria | 🏆 Troféu: Trash Compactor | 📝 Como platinar: Research 50% of all items in Journey Mode.
Jogo: Terraria | 🏆 Troféu: Conservationist | 📝 Como platinar: Support sustainable logging by planting 100 acorns.
Jogo: Terraria | 🏆 Troféu: Interdimensional Recycling | 📝 Como platinar: Give the Dryad a can of Joja Cola.
Jogo: Stardew Valley | 🏆 Troféu: Dedo Verde | 📝 Como platinar: Ganhe 15.000 ouros
Jogo: Stardew Valley | 🏆 Troféu: Vaqueiro | 📝 Como platinar: Ganhe 50.000 ouros
Jogo: Stardew Valley | 🏆 Troféu: Autossuficiência | 📝 Como platinar: Ganhe 250.000 ouros
Jogo: Stardew Valley | 🏆 Troféu: Milionário | 📝 Como platinar: Ganhe 1.000.000 ouros
Jogo: Stardew Valley | 🏆 Troféu: Lenda | 📝 Como platinar: Conquista Secreta / Sem descrição
Jogo: Stardew Valley | 🏆 Troféu: Coleção Completa | 📝 Como platinar: Complete a coleção do museu
Jogo: Stardew Valley | 🏆 Troféu: Um Novo Amigo | 📝 Como platinar: Alcance amizade nível 5 com alguém.
Jogo: Stardew Valley | 🏆 Troféu: Melhores Amigos | 📝 Como platinar: Alcance amizade nível 10 com alguém.
Jogo: Stardew Valley | 🏆 Troféu: Amado Fazendeiro | 📝 Como platinar: Alcance amizade nível 10 com 8 pessoas.
Jogo: Stardew Valley | 🏆 Troféu: Panelinha | 📝 Como platinar: Alcance amizade nível 5 com 4 pessoas.
Jogo: Stardew Valley | 🏆 Troféu: Rede de Contatos | 📝 Como platinar: Alcance amizade nível 5 com 10 pessoas.
Jogo: Stardew Valley | 🏆 Troféu: Popular | 📝 Como platinar: Alcance amizade nível 5 com 20 pessoas.
Jogo: Stardew Valley | 🏆 Troféu: Cozinheiro | 📝 Como platinar: Cozinhe 10 receitas diferentes.
Jogo: Stardew Valley | 🏆 Troféu: Vice-chefe | 📝 Como platinar: Cozinhe 25 receitas diferentes
Jogo: Stardew Valley | 🏆 Troféu: Chefe Gourmet | 📝 Como platinar: Cozinhe todas as receitas.
Jogo: Stardew Valley | 🏆 Troféu: Subindo de Vida | 📝 Como platinar: Atualize sua casa.
Jogo: Stardew Valley | 🏆 Troféu: Vivendo Bem | 📝 Como platinar: Aumente o tamanho de sua casa para o nível máximo.
Jogo: Stardew Valley | 🏆 Troféu: Faça Você Mesmo | 📝 Como platinar: Crie 15 itens diferentes.
Jogo: Stardew Valley | 🏆 Troféu: Artesão | 📝 Como platinar: Crie 30 itens diferentes.
Jogo: Stardew Valley | 🏆 Troféu: Mestre da Fabricação | 📝 Como platinar: Crie todos os itens.
Jogo: Stardew Valley | 🏆 Troféu: Pescador | 📝 Como platinar: Pegue 10 peixes diferentes.
Jogo: Stardew Valley | 🏆 Troféu: Velho Marinheiro | 📝 Como platinar: Pegue 24 peixes diferentes.
Jogo: Stardew Valley | 🏆 Troféu: Velho Pescador | 📝 Como platinar: Pegue todos os peixes.
Jogo: Stardew Valley | 🏆 Troféu: Grande Pesca | 📝 Como platinar: Pegue 100 peixes.
Jogo: Stardew Valley | 🏆 Troféu: Coleção de Tesouros | 📝 Como platinar: Doe 40 itens ao museu.
Jogo: Stardew Valley | 🏆 Troféu: Autônomo | 📝 Como platinar: Complete 10 missões 'Precisa-se de ajuda'.
Jogo: Stardew Valley | 🏆 Troféu: Uma Grande Ajuda | 📝 Como platinar: Complete 40 missões 'Precisa-se de ajuda'.
Jogo: Stardew Valley | 🏆 Troféu: Policultura | 📝 Como platinar: Envie 15 itens de cada plantação pelo correio.
Jogo: Stardew Valley | 🏆 Troféu: Monocultura | 📝 Como platinar: Envie 300 itens de uma variedade só pelo correio.
Jogo: Stardew Valley | 🏆 Troféu: Envio completo | 📝 Como platinar: Envie um item de cada ao correio.
Jogo: Stardew Valley | 🏆 Troféu: Rei da Pradaria | 📝 Como platinar: Zere o arcade 'Jornada do Rei da Pradaria'.
Jogo: Stardew Valley | 🏆 Troféu: No Fundo | 📝 Como platinar: Alcance o nível mais profundo das minas.
Jogo: Stardew Valley | 🏆 Troféu: Lenda Local | 📝 Como platinar: Restaure o Centro Comunitário da Vila Pelicanos.
Jogo: Stardew Valley | 🏆 Troféu: Joja Co. Membro do Ano | 📝 Como platinar: Torne-se um membro da Joja Co. e realize todas as obras para a comunidade.
Jogo: Stardew Valley | 🏆 Troféu: Mistério das Frutas-estrela | 📝 Como platinar: Encontre todas as Frutas-estrela
Jogo: Stardew Valley | 🏆 Troféu: Desafio do Fector | 📝 Como platinar: Conquista Secreta / Sem descrição
Jogo: Stardew Valley | 🏆 Troféu: Casa Cheia | 📝 Como platinar: Case e tenha dois filhos.
Jogo: Stardew Valley | 🏆 Troféu: Talento Único | 📝 Como platinar: Alcance nível 10 em alguma habilidade.
Jogo: Stardew Valley | 🏆 Troféu: Mestre das Cinco Técnicas | 📝 Como platinar: Alcance nível 10 em todas as habilidades.
Jogo: Stardew Valley | 🏆 Troféu: Protetor do Vale | 📝 Como platinar: Complete todas as Metas de Erradicação de Monstros da Guilda dos Aventureiros.
Jogo: Stardew Valley | 🏆 Troféu: Estudioso | 📝 Como platinar: Leia todos os livros.
Jogo: Stardew Valley | 🏆 Troféu: Dois Joinhas | 📝 Como platinar: Assista a um filme.
Jogo: Stardew Valley | 🏆 Troféu: Fita Azul | 📝 Como platinar: Consiga o primeiro lugar na competição da Feira do Vale do Orvalho.
Jogo: Stardew Valley | 🏆 Troféu: Uma Sopa Inesquecível | 📝 Como platinar: Agrade o Governador.
Jogo: Stardew Valley | 🏆 Troféu: Boa Vizinhança | 📝 Como platinar: Ajude seus vizinhos da floresta a aumentarem sua família.
Jogo: Stardew Valley | 🏆 Troféu: Perigo nas Profundezas | 📝 Como platinar: Chegue até o fundo das minas 'perigosas'.
Jogo: Stardew Valley | 🏆 Troféu: Poder Infinito | 📝 Como platinar: Obtenha a arma mais poderosa.
Jogo: Stardew Valley | 🏆 Troféu: Perfeição | 📝 Como platinar: Alcance o pico.
Jogo: Stardew Valley | 🏆 Troféu: Uma Praia Distante | 📝 Como platinar: Chegue à Ilha Gengibre.
Jogo: Hollow Knight | 🏆 Troféu: Afortunado | 📝 Como platinar: Adquira seu primeiro Amuleto
Jogo: Hollow Knight | 🏆 Troféu: Encantado | 📝 Como platinar: Adquira metade dos Amuletos de Hallownest
Jogo: Hollow Knight | 🏆 Troféu: Abençoado | 📝 Como platinar: Adquira todos os Amuletos e receba a bênção de Salubra
Jogo: Hollow Knight | 🏆 Troféu: Protegido | 📝 Como platinar: Adquira 4 Fragmentos de Máscara
Jogo: Hollow Knight | 🏆 Troféu: Mascarado | 📝 Como platinar: Adquira todos os Fragmentos de Máscara
Jogo: Hollow Knight | 🏆 Troféu: Cheio de Alma | 📝 Como platinar: Adquira 3 Fragmentos de Receptáculo
Jogo: Hollow Knight | 🏆 Troféu: Alma do mundo | 📝 Como platinar: Adquira todos os Fragmentos de Receptáculo
Jogo: Hollow Knight | 🏆 Troféu: Falsidade | 📝 Como platinar: Derrote o Falso Cavaleiro
Jogo: Hollow Knight | 🏆 Troféu: Força | 📝 Como platinar: Conquista Secreta / Sem descrição
Jogo: Hollow Knight | 🏆 Troféu: Teste de Resolução | 📝 Como platinar: Derrote Hornet no Caminho Verde
Jogo: Hollow Knight | 🏆 Troféu: Prova de Resolução | 📝 Como platinar: Conquista Secreta / Sem descrição
Jogo: Hollow Knight | 🏆 Troféu: Iluminação | 📝 Como platinar: Derrote o Mestre das Almas
Jogo: Hollow Knight | 🏆 Troféu: Libertação | 📝 Como platinar: Derrote o Receptáculo Quebrado
Jogo: Hollow Knight | 🏆 Troféu: Paz | 📝 Como platinar: Conquista Secreta / Sem descrição
Jogo: Hollow Knight | 🏆 Troféu: Honra | 📝 Como platinar: Derrote o Defensor do Esterco
Jogo: Hollow Knight | 🏆 Troféu: Respeito | 📝 Como platinar: Derrote os Lordes Louva-a-Deus
Jogo: Hollow Knight | 🏆 Troféu: Obsessão | 📝 Como platinar: Conquista Secreta / Sem descrição
Jogo: Hollow Knight | 🏆 Troféu: Rivalidade | 📝 Como platinar: Conquista Secreta / Sem descrição
Jogo: Hollow Knight | 🏆 Troféu: Sintonia | 📝 Como platinar: Colete 600 Essências
Jogo: Hollow Knight | 🏆 Troféu: Despertar | 📝 Como platinar: Colete 1800 Essências e desperte o Ferrão dos Sonhos
Jogo: Hollow Knight | 🏆 Troféu: Ascensão | 📝 Como platinar: Colete 2400 Essências e ouça as palavras finais da Vidente
Jogo: Hollow Knight | 🏆 Troféu: Amigo das Larvas | 📝 Como platinar: Resgate metade das larvas prisioneiras
Jogo: Hollow Knight | 🏆 Troféu: Metamorfose | 📝 Como platinar: Resgate todas as larvas prisioneiras
Jogo: Hollow Knight | 🏆 Troféu: Negligência | 📝 Como platinar: Deixe Zote morrer
Jogo: Hollow Knight | 🏆 Troféu: Pureza | 📝 Como platinar: Conquista Secreta / Sem descrição
Jogo: Hollow Knight | 🏆 Troféu: Casal Feliz | 📝 Como platinar: Conquista Secreta / Sem descrição
Jogo: Hollow Knight | 🏆 Troféu: Testemunha | 📝 Como platinar: Conquista Secreta / Sem descrição
Jogo: Hollow Knight | 🏆 Troféu: Consolação | 📝 Como platinar: Traga a paz para a Pranteadora Cinzenta
Jogo: Hollow Knight | 🏆 Troféu: Execução | 📝 Como platinar: Derrote o Lorde Traidor
Jogo: Hollow Knight | 🏆 Troféu: Conexão | 📝 Como platinar: Abra metade das Estações de Besouro de Hallownest
Jogo: Hollow Knight | 🏆 Troféu: Esperança | 📝 Como platinar: Abra todas as Estações de Besouro de Hallownest e descubra o Ninho dos Besouros
Jogo: Hollow Knight | 🏆 Troféu: Professora | 📝 Como platinar: Destrua Monomon a Professora
Jogo: Hollow Knight | 🏆 Troféu: Observador | 📝 Como platinar: Destrua Lurien o Observador
Jogo: Hollow Knight | 🏆 Troféu: Besta | 📝 Como platinar: Destrua Herrah a Besta
Jogo: Hollow Knight | 🏆 Troféu: Cartógrafo | 📝 Como platinar: Adquira um mapa de cada área
Jogo: Hollow Knight | 🏆 Troféu: Guerreiro | 📝 Como platinar: Complete a Provação do Guerreiro
Jogo: Hollow Knight | 🏆 Troféu: Conquistador | 📝 Como platinar: Complete o Provação do Conquistador
Jogo: Hollow Knight | 🏆 Troféu: Tolo | 📝 Como platinar: Complete a Provação do Tolo
Jogo: Hollow Knight | 🏆 Troféu: O Cavaleiro Vazio | 📝 Como platinar: Conquista Secreta / Sem descrição
Jogo: Hollow Knight | 🏆 Troféu: Irmãos Selados | 📝 Como platinar: Conquista Secreta / Sem descrição
Jogo: Hollow Knight | 🏆 Troféu: Não Sonhe Mais | 📝 Como platinar: Conquista Secreta / Sem descrição
Jogo: Hollow Knight | 🏆 Troféu: Vazio | 📝 Como platinar: Conquista Secreta / Sem descrição
Jogo: Hollow Knight | 🏆 Troféu: Speedrun 1 | 📝 Como platinar: Complete o jogo em menos de 10 horas
Jogo: Hollow Knight | 🏆 Troféu: Speedrun 2 | 📝 Como platinar: Complete o Jogo em menos de 5 horas
Jogo: Hollow Knight | 🏆 Troféu: Conclusão | 📝 Como platinar: Consiga 100% de conclusão e termine o jogo
Jogo: Hollow Knight | 🏆 Troféu: Finalização Rápida | 📝 Como platinar: Consiga 100% de conclusão e termine o jogo em menos de 20 horas
Jogo: Hollow Knight | 🏆 Troféu: Alma de Aço | 📝 Como platinar: Finalize o jogo no modo Alma de Aço
Jogo: Hollow Knight | 🏆 Troféu: Coração de Aço | 📝 Como platinar: Consiga 100% de conclusão do jogo no modo Alma de Aço
